id,fake_label,x_min,y_min,x_max,y_max
00026688,0,0,0,0,0
00028500,0,0,0,0,0
00027730,0,0,0,0,0
00031681,0,0,0,0,0
00033648,0,0,0,0,0
00000929,1,109,130,215,212
00008417,1,75,160,232,225
00031777,0,0,0,0,0
00020124,0,0,0,0,0
00023518,0,0,0,0,0
00017019,1,59,47,188,198
00029887,0,0,0,0,0
00003489,1,125,34,196,98
00015171,1,190,136,249,217
00014315,1,78,72,223,163
00004449,1,131,87,219,237
00028559,0,0,0,0,0
00032972,0,0,0,0,0
00011828,1,69,17,141,155
00004406,1,65,86,208,237
00004464,1,6,158,218,247
00000084,1,100,118,181,217
00014481,1,188,13,252,186
00005687,1,192,182,249,240
00032302,0,0,0,0,0
00012140,1,53,32,169,124
00021145,0,0,0,0,0
00004741,1,167,62,234,126
00003819,1,80,177,238,247
00034203,0,0,0,0,0
00031754,0,0,0,0,0
00001711,1,22,112,212,230
00032548,0,0,0,0,0
00023622,0,0,0,0,0
00019151,0,0,0,0,0
00002276,1,170,170,225,229
00010125,1,77,129,136,237
00009709,1,10,164,178,231
00013079,1,106,143,225,246
00012650,1,148,88,220,209
00013875,1,186,80,247,199
00007210,1,157,118,234,189
00031306,0,0,0,0,0
00000274,1,146,163,242,242
00025389,0,0,0,0,0
00007134,1,52,186,121,245
00008967,1,174,22,240,112
00024029,0,0,0,0,0
00009505,1,71,100,204,161
00002975,1,39,43,95,242
00031771,0,0,0,0,0
00034794,0,0,0,0,0
00035498,0,0,0,0,0
00030069,0,0,0,0,0
00015074,1,157,46,221,195
00016751,1,142,41,231,226
00007092,1,148,172,231,240
00015145,1,89,119,203,238
00010251,1,151,110,231,230
00035631,0,0,0,0,0
00021279,0,0,0,0,0
00022475,0,0,0,0,0
00032138,0,0,0,0,0
00014364,1,161,179,220,254
00027088,0,0,0,0,0
00023544,0,0,0,0,0
00029040,0,0,0,0,0
00034124,0,0,0,0,0
00022122,0,0,0,0,0
00031173,0,0,0,0,0
00005628,1,47,31,125,244
00031343,0,0,0,0,0
00025803,0,0,0,0,0
00003567,1,160,39,228,102
00014813,1,133,143,233,250
00009775,1,58,190,227,246
00027010,0,0,0,0,0
00027761,0,0,0,0,0
00002449,1,35,129,215,211
00013954,1,149,54,222,164
00032031,0,0,0,0,0
00008095,1,54,41,210,238
00015770,1,67,104,190,198
00011711,1,188,197,248,253
00026312,0,0,0,0,0
00011244,1,195,184,254,252
00033530,0,0,0,0,0
00016722,1,122,65,189,136
00006389,1,150,8,233,69
00012509,1,163,69,252,170
00004033,1,86,64,166,152
00024258,0,0,0,0,0
00008561,1,199,99,254,207
00012082,1,144,175,214,235
00000264,1,145,114,247,173
00023615,0,0,0,0,0
00005825,1,100,124,180,209
00021460,0,0,0,0,0
00019832,0,0,0,0,0
00035166,0,0,0,0,0
00007496,1,12,107,206,202
00015542,1,34,109,95,183
00013425,1,165,31,238,137
00024912,0,0,0,0,0
00031230,0,0,0,0,0
00011216,1,20,34,184,132
00033023,0,0,0,0,0
00025836,0,0,0,0,0
00031655,0,0,0,0,0
00010994,1,76,127,156,222
00016895,1,14,36,233,132
00032996,0,0,0,0,0
00006283,1,83,39,244,182
00000880,1,47,150,179,229
00007938,1,108,65,182,217
00001994,1,51,60,218,253
00014005,1,143,106,239,182
00017823,1,35,10,120,107
00016493,1,90,166,178,224
00004919,1,188,32,253,201
00000711,1,8,60,76,166
00029759,0,0,0,0,0
00033159,0,0,0,0,0
00028980,0,0,0,0,0
00027000,0,0,0,0,0
00009791,1,37,103,145,187
00015102,1,31,37,244,150
00031715,0,0,0,0,0
00000014,1,98,111,183,172
00031616,0,0,0,0,0
00002858,1,114,35,201,206
00013226,1,70,90,125,251
00014828,1,73,162,144,218
00001180,1,20,103,235,192
00034322,0,0,0,0,0
00002134,1,193,151,251,225
00010920,1,194,16,251,160
00030282,0,0,0,0,0
00035254,0,0,0,0,0
00026635,0,0,0,0,0
00014339,1,123,121,181,215
00025166,0,0,0,0,0
00032542,0,0,0,0,0
00007365,1,90,155,189,238
00036108,0,0,0,0,0
00009634,1,192,143,250,249
00021487,0,0,0,0,0
00019750,0,0,0,0,0
00003674,1,46,3,133,71
00017053,1,48,138,124,212
00020749,0,0,0,0,0
00035394,0,0,0,0,0
00033723,0,0,0,0,0
00034534,0,0,0,0,0
00009441,1,72,88,218,208
00006109,1,122,133,250,189
00016971,1,199,199,254,254
00012305,1,148,139,242,199
00014914,1,174,14,249,112
00005930,1,111,119,173,223
00016738,1,181,110,250,172
00021942,0,0,0,0,0
00019078,0,0,0,0,0
00005307,1,75,24,171,220
00036084,0,0,0,0,0
00002953,1,71,126,152,222
00014927,1,80,196,210,254
00035739,0,0,0,0,0
00032152,0,0,0,0,0
00011858,1,71,36,140,124
00032101,0,0,0,0,0
00027926,0,0,0,0,0
00034971,0,0,0,0,0
00032704,0,0,0,0,0
00030027,0,0,0,0,0
00022791,0,0,0,0,0
00023613,0,0,0,0,0
00006849,1,48,175,188,253
00017910,1,92,188,224,251
00011154,1,79,31,229,201
00023110,0,0,0,0,0
00000844,1,170,106,231,234
00020763,0,0,0,0,0
00028589,0,0,0,0,0
00006037,1,167,187,223,249
00010343,1,137,80,222,167
00030126,0,0,0,0,0
00029848,0,0,0,0,0
00036050,0,0,0,0,0
00010701,1,0,66,134,219
00032312,0,0,0,0,0
00002875,1,162,136,247,194
00003209,1,100,0,163,192
00025702,0,0,0,0,0
00011495,1,127,181,223,239
00009196,1,36,189,192,253
00003736,1,117,151,221,216
00036129,0,0,0,0,0
00026943,0,0,0,0,0
00005116,1,182,91,241,242
00000968,1,13,120,91,208
00004739,1,196,44,253,185
00032871,0,0,0,0,0
00026354,0,0,0,0,0
00028150,0,0,0,0,0
00032875,0,0,0,0,0
00001787,1,21,88,205,223
00007138,1,22,46,106,238
00000954,1,41,5,205,99
00034405,0,0,0,0,0
00002309,1,78,144,249,202
00009296,1,146,131,208,240
00016135,1,122,136,232,215
00022836,0,0,0,0,0
00031778,0,0,0,0,0
00031077,0,0,0,0,0
00023106,0,0,0,0,0
00017502,1,44,77,194,149
00019827,0,0,0,0,0
00019928,0,0,0,0,0
00034773,0,0,0,0,0
00005815,1,185,38,242,112
00027431,0,0,0,0,0
00011776,1,131,42,197,202
00026726,0,0,0,0,0
00001797,1,16,162,251,240
00030391,0,0,0,0,0
00027255,0,0,0,0,0
00004950,1,136,74,200,222
00023998,0,0,0,0,0
00029731,0,0,0,0,0
00027632,0,0,0,0,0
00022551,0,0,0,0,0
00013472,1,86,128,176,219
00030274,0,0,0,0,0
00029743,0,0,0,0,0
00004878,1,197,59,253,141
00028326,0,0,0,0,0
00000313,1,32,137,90,240
00019396,0,0,0,0,0
00001163,1,98,82,249,144
00018852,0,0,0,0,0
00027943,0,0,0,0,0
00007786,1,199,175,254,241
00014917,1,2,98,209,207
00018290,0,0,0,0,0
00011474,1,54,89,113,222
00000071,1,59,52,213,206
00005708,1,72,180,231,246
00018205,1,44,103,111,213
00006634,1,141,58,237,118
00030240,0,0,0,0,0
00000076,1,127,50,208,214
00003616,1,7,23,110,84
00018254,0,0,0,0,0
00002859,1,88,129,174,206
00013971,1,162,172,231,239
00031524,0,0,0,0,0
00005039,1,156,3,240,105
00026381,0,0,0,0,0
00008970,1,22,146,212,214
00005283,1,185,195,243,250
00004772,1,15,126,215,193
00034079,0,0,0,0,0
00006809,1,20,66,117,163
00014844,1,82,99,243,203
00031678,0,0,0,0,0
00021092,0,0,0,0,0
00016419,1,135,120,220,241
00004668,1,161,84,233,234
00027569,0,0,0,0,0
00019261,0,0,0,0,0
00007561,1,26,79,151,166
00027109,0,0,0,0,0
00008142,1,40,153,195,235
00020850,0,0,0,0,0
00003733,1,15,7,94,197
00019674,0,0,0,0,0
00014187,1,127,25,235,97
00000994,1,6,80,144,189
00028046,0,0,0,0,0
00012475,1,195,72,250,135
00019408,0,0,0,0,0
00002214,1,25,56,241,137
00012333,1,47,177,116,251
00028515,0,0,0,0,0
00024764,0,0,0,0,0
00021966,0,0,0,0,0
00025064,0,0,0,0,0
00028468,0,0,0,0,0
00031854,0,0,0,0,0
00029967,0,0,0,0,0
00030890,0,0,0,0,0
00012759,1,103,142,173,217
00029616,0,0,0,0,0
00030208,0,0,0,0,0
00021229,0,0,0,0,0
00031515,0,0,0,0,0
00005639,1,177,134,251,247
00000912,1,125,74,198,195
00025173,0,0,0,0,0
00020382,0,0,0,0,0
00008822,1,82,3,153,195
00010348,1,56,1,163,196
00026983,0,0,0,0,0
00000609,1,34,145,138,230
00021720,0,0,0,0,0
00002880,1,185,30,244,218
00001671,1,116,141,181,241
00032663,0,0,0,0,0
00003930,1,170,47,230,130
00013591,1,116,110,197,192
00023983,0,0,0,0,0
00030993,0,0,0,0,0
00022965,0,0,0,0,0
00012128,1,100,146,215,252
00002044,1,22,138,237,230
00031836,0,0,0,0,0
00014870,1,26,39,111,232
00002349,1,105,165,168,241
00029394,0,0,0,0,0
00014637,1,35,135,186,239
00020908,0,0,0,0,0
00011312,1,103,84,184,159
00032466,0,0,0,0,0
00007824,1,65,197,179,252
00002358,1,165,175,249,247
00012631,1,179,179,245,237
00019980,0,0,0,0,0
00033907,0,0,0,0,0
00025196,0,0,0,0,0
00001292,1,31,53,148,146
00005611,1,189,116,248,202
00001488,1,162,139,231,200
00010657,1,147,98,216,219
00001617,1,79,17,155,84
00034046,0,0,0,0,0
00031101,0,0,0,0,0
00026671,0,0,0,0,0
00002593,1,146,84,216,233
00010942,1,171,88,241,170
00001683,1,170,25,227,175
00015119,1,175,38,241,215
00028786,0,0,0,0,0
00006523,1,154,171,211,227
00012189,1,163,129,245,243
00020574,0,0,0,0,0
00017981,1,52,42,219,138
00008583,1,122,158,223,251
00005641,1,47,182,159,245
00014053,1,91,138,190,213
00016424,1,110,115,232,246
00016774,1,43,27,238,217
00010377,1,84,40,241,244
00025206,0,0,0,0,0
00026994,0,0,0,0,0
00028637,0,0,0,0,0
00001537,1,31,137,158,221
00013298,1,155,54,212,200
00016266,1,119,53,230,191
00026753,0,0,0,0,0
00030181,0,0,0,0,0
00009729,1,14,178,104,239
00022255,0,0,0,0,0
00022070,0,0,0,0,0
00024455,0,0,0,0,0
00002030,1,96,101,221,199
00016065,1,169,194,232,250
00003894,1,48,195,114,253
00002831,1,31,180,88,241
00034597,0,0,0,0,0
00008323,1,33,46,171,172
00024557,0,0,0,0,0
00023380,0,0,0,0,0
00024460,0,0,0,0,0
00034144,0,0,0,0,0
00001435,1,90,30,165,217
00026357,0,0,0,0,0
00017842,1,59,68,164,169
00031491,0,0,0,0,0
00008207,1,93,198,155,254
00001427,1,48,164,111,235
00010915,1,145,37,227,209
00033246,0,0,0,0,0
00002443,1,161,156,240,249
00019488,0,0,0,0,0
00006970,1,110,182,237,239
00027331,0,0,0,0,0
00016735,1,39,95,125,153
00000269,1,144,195,214,250
00004469,1,119,88,229,254
00007760,1,177,137,238,215
00010864,1,167,154,223,217
00003636,1,62,116,143,234
00034797,0,0,0,0,0
00007902,1,183,42,239,222
00015565,1,134,156,232,219
00011769,1,81,193,203,251
00012758,1,57,66,249,206
00004306,1,47,138,221,222
00001428,1,145,108,223,163
00032261,0,0,0,0,0
00021873,0,0,0,0,0
00034101,0,0,0,0,0
00035806,0,0,0,0,0
00018838,0,0,0,0,0
00021400,0,0,0,0,0
00006676,1,135,87,207,219
00028567,0,0,0,0,0
00010644,1,170,20,236,250
00011417,1,51,188,120,245
00016811,1,82,138,146,252
00008405,1,128,179,237,245
00004606,1,166,133,243,221
00016404,1,184,183,254,241
00035674,0,0,0,0,0
00017432,1,5,75,138,178
00025638,0,0,0,0,0
00035570,0,0,0,0,0
00011989,1,166,163,234,229
00000726,1,167,30,228,138
00009626,1,21,64,106,184
00034574,0,0,0,0,0
00012733,1,90,29,154,242
00024453,0,0,0,0,0
00001417,1,107,153,244,252
00017932,1,130,199,205,254
00031289,0,0,0,0,0
00028377,0,0,0,0,0
00010290,1,117,74,174,242
00011362,1,154,193,238,249
00010784,1,171,88,249,243
00029576,0,0,0,0,0
00026700,0,0,0,0,0
00018358,0,0,0,0,0
00014723,1,150,174,205,242
00008611,1,2,124,153,228
00012924,1,18,51,104,202
00019328,0,0,0,0,0
00020127,0,0,0,0,0
00027907,0,0,0,0,0
00036416,0,0,0,0,0
00010537,1,90,33,197,160
00026456,0,0,0,0,0
00024148,0,0,0,0,0
00024591,0,0,0,0,0
00009164,1,168,132,248,238
00018054,1,66,25,213,207
00015312,1,199,45,254,173
00025810,0,0,0,0,0
00026890,0,0,0,0,0
00000097,1,162,31,236,248
00003129,1,172,35,240,117
00027453,0,0,0,0,0
00023760,0,0,0,0,0
00007894,1,16,58,143,252
00013535,1,112,47,201,124
00016086,1,46,92,200,149
00006233,1,63,161,157,240
00031755,0,0,0,0,0
00023849,0,0,0,0,0
00032158,0,0,0,0,0
00012139,1,141,148,204,208
00002072,1,25,112,204,217
00007626,1,166,1,240,121
00020687,0,0,0,0,0
00030902,0,0,0,0,0
00032121,0,0,0,0,0
00003602,1,12,31,84,193
00029400,0,0,0,0,0
00019514,0,0,0,0,0
00032157,0,0,0,0,0
00017985,1,114,181,235,239
00004309,1,20,52,144,200
00011891,1,86,118,226,201
00013584,1,164,177,253,248
00031699,0,0,0,0,0
00013988,1,105,144,223,238
00031006,0,0,0,0,0
00020527,0,0,0,0,0
00025299,0,0,0,0,0
00035898,0,0,0,0,0
00015492,1,123,48,225,242
00002190,1,104,35,184,250
00018456,0,0,0,0,0
00021168,0,0,0,0,0
00011069,1,111,169,244,244
00024389,0,0,0,0,0
00033090,0,0,0,0,0
00008239,1,159,126,231,212
00029599,0,0,0,0,0
00032872,0,0,0,0,0
00022268,0,0,0,0,0
00004590,1,28,109,185,218
00012495,1,80,154,174,215
00006613,1,80,115,243,242
00000145,1,74,100,130,243
00023190,0,0,0,0,0
00007463,1,146,18,212,104
00021611,0,0,0,0,0
00008478,1,108,190,239,253
00019726,0,0,0,0,0
00019589,0,0,0,0,0
00007575,1,151,74,207,156
00020454,0,0,0,0,0
00034859,0,0,0,0,0
00013053,1,157,56,244,162
00020704,0,0,0,0,0
00000041,1,111,79,170,143
00021571,0,0,0,0,0
00016114,1,191,85,247,148
00005224,1,173,119,249,211
00018531,0,0,0,0,0
00013695,1,126,3,214,82
00003848,1,146,99,229,221
00032716,0,0,0,0,0
00035449,0,0,0,0,0
00016548,1,184,23,250,221
00017519,1,188,178,247,239
00029789,0,0,0,0,0
00035670,0,0,0,0,0
00028939,0,0,0,0,0
00021981,0,0,0,0,0
00029514,0,0,0,0,0
00026399,0,0,0,0,0
00018512,0,0,0,0,0
00018907,0,0,0,0,0
00021240,0,0,0,0,0
00031653,0,0,0,0,0
00000472,1,49,187,141,247
00036004,0,0,0,0,0
00009890,1,45,138,177,210
00003646,1,86,57,164,145
00032496,0,0,0,0,0
00018151,1,81,130,250,249
00033266,0,0,0,0,0
00011147,1,32,3,218,107
00027205,0,0,0,0,0
00000533,1,49,9,189,99
00019026,0,0,0,0,0
00017247,1,147,124,222,252
00013932,1,80,175,240,242
00020698,0,0,0,0,0
00018291,0,0,0,0,0
00031972,0,0,0,0,0
00007488,1,29,173,105,237
00007641,1,37,56,95,139
00027014,0,0,0,0,0
00034662,0,0,0,0,0
00033548,0,0,0,0,0
00005357,1,7,20,194,250
00019920,0,0,0,0,0
00021278,0,0,0,0,0
00035426,0,0,0,0,0
00028966,0,0,0,0,0
00000429,1,42,61,203,154
00027696,0,0,0,0,0
00000466,1,102,65,226,252
00018683,0,0,0,0,0
00026675,0,0,0,0,0
00001732,1,138,76,194,209
00024966,0,0,0,0,0
00012855,1,113,153,252,236
00029051,0,0,0,0,0
00014425,1,114,194,199,254
00024547,0,0,0,0,0
00012904,1,51,141,170,209
00014046,1,145,129,248,245
00035565,0,0,0,0,0
00006848,1,122,113,234,226
00029254,0,0,0,0,0
00010649,1,106,181,243,243
00031143,0,0,0,0,0
00008189,1,125,9,199,166
00034221,0,0,0,0,0
00004637,1,85,125,208,225
00013097,1,94,109,235,252
00034164,0,0,0,0,0
00010183,1,19,146,205,240
00016367,1,170,78,233,213
00031646,0,0,0,0,0
00004971,1,124,120,242,243
00022583,0,0,0,0,0
00010046,1,153,137,246,210
00036103,0,0,0,0,0
00034195,0,0,0,0,0
00002579,1,194,14,250,115
00007290,1,146,172,219,230
00014931,1,111,139,210,203
00009163,1,84,44,215,246
00022237,0,0,0,0,0
00030559,0,0,0,0,0
00029144,0,0,0,0,0
00010645,1,129,180,235,248
00022947,0,0,0,0,0
00016249,1,118,132,252,233
00020469,0,0,0,0,0
00027187,0,0,0,0,0
00010945,1,108,50,184,107
00002745,1,46,157,110,245
00008133,1,188,78,246,232
00017113,1,194,24,250,235
00011579,1,9,198,133,254
00012120,1,154,14,251,97
00002650,1,168,88,224,163
00007251,1,18,110,81,207
00018128,1,154,136,218,253
00035480,0,0,0,0,0
00021478,0,0,0,0,0
00028523,0,0,0,0,0
00003050,1,186,140,249,213
00019515,0,0,0,0,0
00015610,1,71,0,243,72
00029777,0,0,0,0,0
00018986,0,0,0,0,0
00027689,0,0,0,0,0
00030946,0,0,0,0,0
00019534,0,0,0,0,0
00007482,1,85,169,204,249
00003029,1,128,52,254,162
00013399,1,171,47,230,231
00030244,0,0,0,0,0
00000062,1,37,193,179,251
00026679,0,0,0,0,0
00005219,1,18,109,254,210
00003641,1,100,86,231,143
00016042,1,21,62,170,203
00018814,0,0,0,0,0
00031532,0,0,0,0,0
00022210,0,0,0,0,0
00004450,1,1,159,219,231
00007546,1,27,67,241,223
00008152,1,20,80,119,190
00009839,1,147,45,236,182
00018237,1,6,100,189,250
00020910,0,0,0,0,0
00013707,1,13,73,164,232
00005149,1,128,74,199,203
00035797,0,0,0,0,0
00008226,1,118,25,250,215
00029676,0,0,0,0,0
00016857,1,67,0,196,101
00023593,0,0,0,0,0
00001554,1,125,17,197,102
00010241,1,15,108,165,178
00002868,1,39,48,153,164
00004519,1,186,7,251,195
00023277,0,0,0,0,0
00008905,1,51,158,194,243
00007021,1,78,76,157,148
00009987,1,127,20,229,150
00019733,0,0,0,0,0
00029563,0,0,0,0,0
00036445,0,0,0,0,0
00021880,0,0,0,0,0
00031044,0,0,0,0,0
00035216,0,0,0,0,0
00013326,1,0,41,243,210
00019114,0,0,0,0,0
00029143,0,0,0,0,0
00024564,0,0,0,0,0
00021343,0,0,0,0,0
00027615,0,0,0,0,0
00000960,1,104,85,245,185
00029966,0,0,0,0,0
00023007,0,0,0,0,0
00028219,0,0,0,0,0
00016334,1,114,84,251,211
00020251,0,0,0,0,0
00024426,0,0,0,0,0
00021308,0,0,0,0,0
00010039,1,193,105,252,211
00006516,1,62,138,203,234
00016508,1,178,199,234,254
00007302,1,194,146,250,209
00005465,1,77,6,176,121
00018379,0,0,0,0,0
00016094,1,20,83,111,141
00036051,0,0,0,0,0
00018091,1,22,197,144,252
00025868,0,0,0,0,0
00035582,0,0,0,0,0
00006188,1,65,22,207,244
00011452,1,174,23,233,106
00010587,1,61,41,206,184
00013632,1,160,43,229,211
00002773,1,4,4,112,116
00008484,1,198,67,254,223
00027854,0,0,0,0,0
00014113,1,169,181,254,253
00009038,1,43,102,154,227
00013498,1,138,49,228,208
00005690,1,9,154,93,216
00020553,0,0,0,0,0
00033632,0,0,0,0,0
00014093,1,18,162,204,238
00034225,0,0,0,0,0
00012291,1,150,157,253,237
00022026,0,0,0,0,0
00019075,0,0,0,0,0
00024136,0,0,0,0,0
00008389,1,16,111,244,199
00006112,1,193,86,252,227
00007578,1,157,182,237,242
00019810,0,0,0,0,0
00017732,1,195,43,252,148
00036384,0,0,0,0,0
00003939,1,129,188,243,247
00028684,0,0,0,0,0
00015622,1,51,121,234,236
00001497,1,126,82,242,225
00014101,1,83,79,185,144
00026219,0,0,0,0,0
00026897,0,0,0,0,0
00024266,0,0,0,0,0
00025873,0,0,0,0,0
00016843,1,59,172,172,227
00022911,0,0,0,0,0
00006485,1,70,138,191,236
00030193,0,0,0,0,0
00003887,1,197,149,254,231
00010869,1,138,86,232,178
00015259,1,81,98,235,154
00034303,0,0,0,0,0
00019145,0,0,0,0,0
00018781,0,0,0,0,0
00036071,0,0,0,0,0
00026938,0,0,0,0,0
00009101,1,113,198,204,254
00021191,0,0,0,0,0
00000843,1,13,8,205,144
00033711,0,0,0,0,0
00018937,0,0,0,0,0
00027410,0,0,0,0,0
00027284,0,0,0,0,0
00009551,1,141,22,227,177
00008117,1,150,90,228,243
00012507,1,42,151,222,210
00014868,1,39,184,172,252
00001838,1,37,188,102,251
00013942,1,133,1,205,186
00003781,1,44,154,203,251
00029655,0,0,0,0,0
00014066,1,67,72,196,223
00005752,1,187,101,245,245
00033944,0,0,0,0,0
00033683,0,0,0,0,0
00025336,0,0,0,0,0
00026825,0,0,0,0,0
00017648,1,109,99,234,233
00027259,0,0,0,0,0
00010610,1,180,38,236,191
00036120,0,0,0,0,0
00031482,0,0,0,0,0
00016796,1,126,9,193,160
00035319,0,0,0,0,0
00032021,0,0,0,0,0
00024708,0,0,0,0,0
00021781,0,0,0,0,0
00001189,1,155,104,252,189
00035887,0,0,0,0,0
00026217,0,0,0,0,0
00027008,0,0,0,0,0
00021861,0,0,0,0,0
00035035,0,0,0,0,0
00021483,0,0,0,0,0
00014468,1,36,99,146,192
00025303,0,0,0,0,0
00010203,1,192,181,247,236
00016648,1,199,12,254,178
00013316,1,197,1,252,94
00023729,0,0,0,0,0
00008022,1,4,132,224,208
00023895,0,0,0,0,0
00035785,0,0,0,0,0
00002465,1,90,129,151,241
00006949,1,60,135,210,239
00023874,0,0,0,0,0
00032047,0,0,0,0,0
00020668,0,0,0,0,0
00002762,1,165,13,231,187
00009452,1,70,84,146,180
00031839,0,0,0,0,0
00016341,1,163,133,244,249
00004742,1,102,196,169,251
00033459,0,0,0,0,0
00033725,0,0,0,0,0
00011905,1,36,26,98,81
00004158,1,23,71,215,138
00001830,1,93,159,223,236
00008046,1,8,193,110,252
00035560,0,0,0,0,0
00024117,0,0,0,0,0
00012990,1,108,110,170,204
00019358,0,0,0,0,0
00010563,1,5,156,122,230
00034335,0,0,0,0,0
00028034,0,0,0,0,0
00006047,1,16,63,194,236
00008987,1,36,14,250,226
00034107,0,0,0,0,0
00016672,1,106,64,192,188
00034581,0,0,0,0,0
00034161,0,0,0,0,0
00006926,1,79,76,217,196
00024653,0,0,0,0,0
00035087,0,0,0,0,0
00017362,1,79,152,134,207
00030577,0,0,0,0,0
00009646,1,1,31,214,117
00031831,0,0,0,0,0
00016265,1,123,197,229,252
00035873,0,0,0,0,0
00013166,1,4,143,117,237
00028323,0,0,0,0,0
00023069,0,0,0,0,0
00030017,0,0,0,0,0
00002297,1,105,25,189,119
00009058,1,56,106,238,168
00026411,0,0,0,0,0
00011784,1,33,113,92,249
00027990,0,0,0,0,0
00013675,1,196,163,251,226
00001399,1,40,177,185,234
00020150,0,0,0,0,0
00024629,0,0,0,0,0
00025687,0,0,0,0,0
00026361,0,0,0,0,0
00017984,1,85,98,216,200
00033225,0,0,0,0,0
00008944,1,194,30,252,195
00030225,0,0,0,0,0
00019842,0,0,0,0,0
00034927,0,0,0,0,0
00000005,1,179,56,239,222
00000331,1,136,171,245,244
00019316,0,0,0,0,0
00012297,1,22,167,166,233
00001349,1,62,154,239,222
00019043,0,0,0,0,0
00010071,1,92,101,189,193
00012432,1,28,89,194,182
00036414,0,0,0,0,0
00029565,0,0,0,0,0
00024893,0,0,0,0,0
00001158,1,156,123,221,238
00019672,0,0,0,0,0
00005087,1,198,132,254,227
00004776,1,25,188,98,251
00008920,1,49,175,241,248
00024229,0,0,0,0,0
00000648,1,101,110,192,194
00016788,1,15,106,106,226
00018961,0,0,0,0,0
00014704,1,111,132,203,230
00013660,1,60,164,221,247
00026491,0,0,0,0,0
00006663,1,84,92,151,237
00024760,0,0,0,0,0
00034669,0,0,0,0,0
00006351,1,0,153,253,220
00014665,1,19,79,163,163
00034012,0,0,0,0,0
00007428,1,169,62,236,136
00022027,0,0,0,0,0
00010855,1,6,12,113,100
00035000,0,0,0,0,0
00027520,0,0,0,0,0
00006814,1,57,196,248,252
00036145,0,0,0,0,0
00023859,0,0,0,0,0
00004220,1,67,149,254,242
00035152,0,0,0,0,0
00004238,1,150,28,230,218
00025535,0,0,0,0,0
00004010,1,32,144,115,228
00030234,0,0,0,0,0
00001772,1,39,182,125,239
00003704,1,68,25,196,89
00003590,1,164,85,241,156
00001254,1,38,179,141,236
00025473,0,0,0,0,0
00002238,1,152,82,225,245
00010856,1,103,84,243,241
00002136,1,151,5,217,125
00023452,0,0,0,0,0
00010828,1,81,6,136,174
00015045,1,63,198,198,253
00033303,0,0,0,0,0
00026708,0,0,0,0,0
00004179,1,188,43,246,227
00025665,0,0,0,0,0
00032336,0,0,0,0,0
00003726,1,107,70,190,166
00030538,0,0,0,0,0
00007104,1,29,10,107,113
00012893,1,161,75,221,239
00007782,1,19,59,103,155
00014706,1,59,98,153,167
00023400,0,0,0,0,0
00034409,0,0,0,0,0
00035093,0,0,0,0,0
00010889,1,177,112,248,174
00022758,0,0,0,0,0
00002208,1,71,92,138,164
00006893,1,78,91,171,232
00016871,1,10,81,162,175
00004581,1,85,197,183,254
00010329,1,144,95,227,172
00016125,1,181,120,237,197
00026143,0,0,0,0,0
00017093,1,94,131,206,213
00009065,1,105,118,181,198
00001279,1,87,147,248,225
00035387,0,0,0,0,0
00019737,0,0,0,0,0
00004631,1,124,4,237,146
00022431,0,0,0,0,0
00031287,0,0,0,0,0
00025215,0,0,0,0,0
00015057,1,165,87,236,188
00017040,1,46,98,102,199
00033931,0,0,0,0,0
00008979,1,176,47,241,244
00025486,0,0,0,0,0
00001320,1,114,155,196,243
